"X..FORM.20...FINAL.RESULT.SHEET...See.rule.56.C..2...C...ELECTION.TO.THE.HOUSE.OF.THE.LEGISLATOR.FROM.THE.194.BIKRAM.ASSEMBLY.CONSTITUNECY.ROUND.1.PART.1..To.be.used.both.for.Parliamentary.and.Assembly.elections..Total.No..of.electors.in.Assembly..Constituency..Segment..."	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"	"X..29"	"X..30"	"X..31"	"X..32"	"X..33"	"X..34"	"X..35"	"X..36"	"X..37"	"X..38"	"X..39"	"X..40"	"X..41"	"X..42"	"X..43"	"X..44"	"X..45"	"X..46"	"X..47"	"X..48"	"X..49"	"X..50"	"X..51"	"X..52"	"X..53"
"1"	"Name of the Assembly segment ( in the case of election from a Parliamentary constituency) :- 194-BIKRAM"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	""	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of"	""	""	"No. of"	""	""	""	""	"No. of tendered"	""	""	""	""	""	""
"3"	"Serial no. of"	""	"ANIL"	""	""	"DEVI DAYAL"	""	""	"SHAILESH"	""	""	""	"SHYAM DEO"	""	""	"JITENDRA"	""	""	"ANIL"	""	""	"DAMYANTI"	""	""	""	"BHUSHAN"	""	""	"MUNNA"	""	""	""	""	"RAGHUNANDAN"	""	""	"RAMESH"	""	""	""	"Valid Votes"	""	""	"votes"	""	""	""	""	"votes"	""	""	""	""	""	""
"14"	"11"	""	"0"	""	""	"0"	""	""	"0"	""	""	""	"51"	""	""	"2"	""	""	"0"	""	""	"0"	""	""	""	"0"	""	""	"0"	""	""	""	""	"0"	""	""	"0"	""	""	""	"53"	""	""	""	""	""	"53"	""	""	""	""	""	""	""	""
"15"	"12"	""	"29"	""	""	"3"	""	""	"92"	""	""	""	"25"	""	""	"4"	""	""	"0"	""	""	"0"	""	""	""	"3"	""	""	"5"	""	""	""	""	"2"	""	""	"6"	""	""	""	"169"	""	""	""	""	""	"169"	""	""	""	""	""	""	""	""
"16"	"13"	""	"212"	""	""	"2"	""	""	"5"	""	""	""	"21"	""	""	"0"	""	""	"1"	""	""	"0"	""	""	""	"1"	""	""	"0"	""	""	""	""	"1"	""	""	"5"	""	""	""	"248"	""	""	""	""	""	"248"	""	""	""	""	""	""	""	""
"17"	"14"	""	"254"	""	""	"9"	""	""	"111"	""	""	""	"102"	""	""	"5"	""	""	"2"	""	""	"0"	""	""	""	"7"	""	""	"8"	""	""	""	""	"1"	""	""	"8"	""	""	""	"507"	""	""	""	""	""	"507"	""	""	""	""	""	""	""	""
"18"	"Total"	""	"2568"	""	""	"129"	""	""	"836"	""	""	""	"901"	""	""	"73"	""	""	"25"	""	""	"21"	""	""	""	"59"	""	""	"60"	""	""	""	""	"41"	""	""	"120"	""	""	""	"4833"	""	""	""	""	""	"4833"	""	"0"	""	""	""	""	""	""
"19"	"Till Last Round"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"20"	"Grand Total"	""	"2568"	""	""	"129"	""	""	"836"	""	""	""	"901"	""	""	"73"	""	""	"25"	""	""	"21"	""	""	""	"59"	""	""	"60"	""	""	""	""	"41"	""	""	"120"	""	""	""	"4833"	""	""	"0"	""	""	"4833"	""	"0"	""	""	""	""	""	""
"21"	"Place :- Date"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"22"	"rejected"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"23"	"Total"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"24"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"25"	"[ FORM 20 ]
FINAL RESULT SHEET
[ See rule 56 C (2) (C)]
ELECTION TO THE HOUSE OF THE LEGISLATOR FROM THE 194-BIKRAM ASSEMBLY CONSTITUNECY
ROUND-2
PART 1
(To be used both for Parliamentary and Assembly elections) Total No. of electors in Assembly  Constituency/ Segment :-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"26"	"Name of the Assembly segment ( in the case of election from a Parliamentary constituency) :- 194-BIKRAM"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"27"	""	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"28"	"Serial no. of polling station"	""	"ANIL KUMAR"	""	""	"DEVI DAYAL PANDIT"	""	""	"SHAILESH KUMAR SINGH"	""	""	""	"SHYAM DEO SINGH"	""	""	"JITENDRA KUMAR"	""	""	"ANIL KUMAR"	""	""	"DAMYANTI DEVI"	""	""	""	"BHUSHAN PRASAD"	""	""	"MUNNA CHOUDHARY"	""	""	""	""	"RAGHUNANDAN PRASAD"	""	""	"RAMESH SHARMA"	""	""	""	"Total of Valid Votes"	""	""	"No. of
rejected votes"	""	""	"Total"	""	"No. of tendered votes"	""	""	""	""	""	""
"29"	"15"	""	"230"	""	""	"10"	""	""	"297"	""	""	""	"25"	""	""	"2"	""	""	"0"	""	""	"2"	""	""	""	"4"	""	""	"14"	""	""	""	""	"5"	""	""	"7"	""	""	""	"596"	""	""	""	""	""	"596"	""	""	""	""	""	""	""	""
"30"	"16"	""	"124"	""	""	"1"	""	""	"6"	""	""	""	"255"	""	""	"16"	""	""	"2"	""	""	"2"	""	""	""	"8"	""	""	"2"	""	""	""	""	"3"	""	""	"8"	""	""	""	"427"	""	""	""	""	""	"427"	""	""	""	""	""	""	""	""
"31"	"17"	""	"241"	""	""	"8"	""	""	"44"	""	""	""	"174"	""	""	"6"	""	""	"4"	""	""	"0"	""	""	""	"4"	""	""	"5"	""	""	""	""	"6"	""	""	"12"	""	""	""	"504"	""	""	""	""	""	"504"	""	""	""	""	""	""	""	""
"32"	"18"	""	"345"	""	""	"17"	""	""	"82"	""	""	""	"93"	""	""	"7"	""	""	"4"	""	""	"1"	""	""	""	"6"	""	""	"5"	""	""	""	""	"2"	""	""	"27"	""	""	""	"589"	""	""	""	""	""	"589"	""	""	""	""	""	""	""	""
"33"	"19"	""	"396"	""	""	"3"	""	""	"68"	""	""	""	"95"	""	""	"6"	""	""	"1"	""	""	"1"	""	""	""	"7"	""	""	"7"	""	""	""	""	"5"	""	""	"16"	""	""	""	"605"	""	""	""	""	""	"605"	""	""	""	""	""	""	""	""
"34"	"20"	""	"399"	""	""	"10"	""	""	"66"	""	""	""	"59"	""	""	"3"	""	""	"0"	""	""	"1"	""	""	""	"6"	""	""	"2"	""	""	""	""	"0"	""	""	"9"	""	""	""	"555"	""	""	""	""	""	"555"	""	""	""	""	""	""	""	""
"35"	"21"	""	"403"	""	""	"20"	""	""	"18"	""	""	""	"167"	""	""	"4"	""	""	"9"	""	""	"4"	""	""	""	"4"	""	""	"10"	""	""	""	""	"13"	""	""	"23"	""	""	""	"675"	""	""	""	""	""	"675"	""	""	""	""	""	""	""	""
"36"	"22"	""	"509"	""	""	"4"	""	""	"3"	""	""	""	"34"	""	""	"0"	""	""	"0"	""	""	"0"	""	""	""	"2"	""	""	"1"	""	""	""	""	"4"	""	""	"7"	""	""	""	"564"	""	""	""	""	""	"564"	""	""	""	""	""	""	""	""
"37"	"23"	""	"400"	""	""	"3"	""	""	"3"	""	""	""	"44"	""	""	"1"	""	""	"3"	""	""	"1"	""	""	""	"0"	""	""	"0"	""	""	""	""	"0"	""	""	"5"	""	""	""	"460"	""	""	""	""	""	"460"	""	""	""	""	""	""	""	""
"38"	"24"	""	"283"	""	""	"17"	""	""	"3"	""	""	""	"29"	""	""	"2"	""	""	"5"	""	""	"3"	""	""	""	"3"	""	""	"3"	""	""	""	""	"0"	""	""	"10"	""	""	""	"358"	""	""	""	""	""	"358"	""	""	""	""	""	""	""	""
"39"	"25"	""	"276"	""	""	"12"	""	""	"18"	""	""	""	"43"	""	""	"2"	""	""	"2"	""	""	"0"	""	""	""	"2"	""	""	"1"	""	""	""	""	"0"	""	""	"3"	""	""	""	"359"	""	""	""	""	""	"359"	""	""	""	""	""	""	""	""
"40"	"26"	""	"83"	""	""	"2"	""	""	"2"	""	""	""	"111"	""	""	"2"	""	""	"0"	""	""	"0"	""	""	""	"0"	""	""	"0"	""	""	""	""	"1"	""	""	"1"	""	""	""	"202"	""	""	""	""	""	"202"	""	""	""	""	""	""	""	""
"41"	"27"	""	"225"	""	""	"1"	""	""	"1"	""	""	""	"62"	""	""	"2"	""	""	"0"	""	""	"0"	""	""	""	"0"	""	""	"0"	""	""	""	""	"0"	""	""	"5"	""	""	""	"296"	""	""	""	""	""	"296"	""	""	""	""	""	""	""	""
"42"	"28"	""	"60"	""	""	"4"	""	""	"41"	""	""	""	"195"	""	""	"9"	""	""	"1"	""	""	"2"	""	""	""	"2"	""	""	"2"	""	""	""	""	"4"	""	""	"3"	""	""	""	"323"	""	""	""	""	""	"323"	""	""	""	""	""	""	""	""
"43"	"Total"	""	"3974"	""	""	"112"	""	""	"652"	""	""	""	"1386"	""	""	"62"	""	""	"31"	""	""	"17"	""	""	""	"48"	""	""	"52"	""	""	""	""	"43"	""	""	"136"	""	""	""	"6513"	""	""	""	""	""	"6513"	""	"0"	""	""	""	""	""	""
"44"	"Till Last Round"	""	"2568"	""	""	"129"	""	""	"836"	""	""	""	"901"	""	""	"73"	""	""	"25"	""	""	"21"	""	""	""	"59"	""	""	"60"	""	""	""	""	"41"	""	""	"120"	""	""	""	"4833"	""	""	"0"	""	""	"4833"	""	"0"	""	""	""	""	""	""
"45"	"Grand  Total"	""	"6542"	""	""	"241"	""	""	"1488"	""	""	""	"2287"	""	""	"135"	""	""	"56"	""	""	"38"	""	""	""	"107"	""	""	"112"	""	""	""	""	"84"	""	""	"256"	""	""	""	"11346"	""	""	"0"	""	""	"11346"	""	"0"	""	""	""	""	""	""
"46"	"Place Date"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"47"	"[ FORM 20 ]
FINAL RESULT SHEET
[ See rule 56 C (2) (C)]
ELECTION TO THE HOUSE OF THE LEGISLATOR FROM THE 194-BIKRAM ASSEMBLY CONSTITUNECY
ROUND-3
PART 1
(To be used both for Parliamentary and Assembly elections) Total No. of electors in Assembly  Constituency/ Segment :-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"48"	"Name of the Assembly segment ( in the case of election from a Parliamentary constituency) :- 194-BIKRAM"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"49"	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"50"	"Serial no. of polling station"	"ANIL KUMAR"	""	""	""	"DEVI DAYAL PANDIT"	""	""	"SHAILESH KUMAR SINGH"	""	""	"SHYAM DEO SINGH"	""	""	""	"JITENDRA KUMAR"	""	"ANIL KUMAR"	""	""	"DAMYANTI DEVI"	""	""	""	"BHUSHAN PRASAD"	""	""	""	"MUNNA CHOUDHARY"	""	""	""	"RAGHUNANDAN PRASAD"	""	""	""	"RAMESH SHARMA"	""	""	"Total of Valid Votes"	""	""	"No. of
rejected votes"	""	""	"Total"	""	""	"No. of tendered votes"	""	""	""	""	""	""
"51"	"29"	"111"	""	""	""	"0"	""	""	"7"	""	""	"25"	""	""	""	"1"	""	"0"	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	"144"	""	""	""	""	""	"144"	""	""	""	""	""	""	""	""	""
"52"	"30"	"146"	""	""	""	"15"	""	""	"32"	""	""	"95"	""	""	""	"15"	""	"1"	""	""	"3"	""	""	""	"5"	""	""	""	"7"	""	""	""	"7"	""	""	""	"15"	""	""	"341"	""	""	""	""	""	"341"	""	""	""	""	""	""	""	""	""
"53"	"31"	"427"	""	""	""	"2"	""	""	"0"	""	""	"53"	""	""	""	"2"	""	"0"	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	""	"2"	""	""	""	"14"	""	""	"500"	""	""	""	""	""	"500"	""	""	""	""	""	""	""	""	""
"54"	"32"	"71"	""	""	""	"119"	""	""	"52"	""	""	"127"	""	""	""	"2"	""	"3"	""	""	"4"	""	""	""	"4"	""	""	""	"4"	""	""	""	"8"	""	""	""	"11"	""	""	"405"	""	""	""	""	""	"405"	""	""	""	""	""	""	""	""	""
"55"	"33"	"117"	""	""	""	"8"	""	""	"47"	""	""	"275"	""	""	""	"12"	""	"1"	""	""	"4"	""	""	""	"10"	""	""	""	"5"	""	""	""	"6"	""	""	""	"27"	""	""	"512"	""	""	""	""	""	"512"	""	""	""	""	""	""	""	""	""
"56"	"34"	"276"	""	""	""	"7"	""	""	"84"	""	""	"191"	""	""	""	"8"	""	"3"	""	""	"1"	""	""	""	"8"	""	""	""	"8"	""	""	""	"4"	""	""	""	"29"	""	""	"619"	""	""	""	""	""	"619"	""	""	""	""	""	""	""	""	""
"57"	"35"	"276"	""	""	""	"5"	""	""	"6"	""	""	"41"	""	""	""	"2"	""	"3"	""	""	"0"	""	""	""	"0"	""	""	""	"5"	""	""	""	"2"	""	""	""	"11"	""	""	"351"	""	""	""	""	""	"351"	""	""	""	""	""	""	""	""	""
"58"	"36"	"275"	""	""	""	"2"	""	""	"117"	""	""	"130"	""	""	""	"1"	""	"0"	""	""	"2"	""	""	""	"7"	""	""	""	"6"	""	""	""	"3"	""	""	""	"5"	""	""	"548"	""	""	""	""	""	"548"	""	""	""	""	""	""	""	""	""
"59"	"37"	"138"	""	""	""	"9"	""	""	"30"	""	""	"77"	""	""	""	"0"	""	"0"	""	""	"0"	""	""	""	"2"	""	""	""	"1"	""	""	""	"1"	""	""	""	"3"	""	""	"261"	""	""	""	""	""	"261"	""	""	""	""	""	""	""	""	""
"60"	"38"	"152"	""	""	""	"5"	""	""	"14"	""	""	"45"	""	""	""	"5"	""	"3"	""	""	"2"	""	""	""	"1"	""	""	""	"3"	""	""	""	"3"	""	""	""	"17"	""	""	"250"	""	""	""	""	""	"250"	""	""	""	""	""	""	""	""	""
"61"	"38A"	"115"	""	""	""	"13"	""	""	"7"	""	""	"91"	""	""	""	"3"	""	"3"	""	""	"0"	""	""	""	"3"	""	""	""	"2"	""	""	""	"6"	""	""	""	"5"	""	""	"248"	""	""	""	""	""	"248"	""	""	""	""	""	""	""	""	""
"62"	"39"	"7"	""	""	""	"1"	""	""	"2"	""	""	"222"	""	""	""	"2"	""	"0"	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	""	"1"	""	""	"235"	""	""	""	""	""	"235"	""	""	""	""	""	""	""	""	""
"63"	"40"	"50"	""	""	""	"4"	""	""	"15"	""	""	"126"	""	""	""	"19"	""	"2"	""	""	"1"	""	""	""	"1"	""	""	""	"2"	""	""	""	"2"	""	""	""	"3"	""	""	"225"	""	""	""	""	""	"225"	""	""	""	""	""	""	""	""	""
"64"	"41"	"232"	""	""	""	"35"	""	""	"7"	""	""	"71"	""	""	""	"7"	""	"2"	""	""	"1"	""	""	""	"1"	""	""	""	"2"	""	""	""	"5"	""	""	""	"5"	""	""	"368"	""	""	""	""	""	"368"	""	""	""	""	""	""	""	""	""
"65"	"Total"	"2393"	""	""	""	"225"	""	""	"420"	""	""	"1569"	""	""	""	"79"	""	"21"	""	""	"18"	""	""	""	"42"	""	""	""	"45"	""	""	""	"49"	""	""	""	"146"	""	""	"5007"	""	""	""	""	""	"5007"	""	""	"0"	""	""	""	""	""	""
"66"	"Till Last Round"	"6542"	""	""	""	"241"	""	""	"1488"	""	""	"2287"	""	""	""	"135"	""	"56"	""	""	"38"	""	""	""	"107"	""	""	""	"112"	""	""	""	"84"	""	""	""	"256"	""	""	"11346"	""	""	"0"	""	""	"11346"	""	""	"0"	""	""	""	""	""	""
"67"	"Grand Total"	"8935"	""	""	""	"466"	""	""	"1908"	""	""	"3856"	""	""	""	"214"	""	"77"	""	""	"56"	""	""	""	"149"	""	""	""	"157"	""	""	""	"133"	""	""	""	"402"	""	""	"16353"	""	""	"0"	""	""	"16353"	""	""	"0"	""	""	""	""	""	""
"68"	"Place :- Date"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"69"	"[ FORM 20 ]
FINAL RESULT SHEET
[ See rule 56 C (2) (C)]
ELECTION TO THE HOUSE OF THE LEGISLATOR FROM THE 194-BIKRAM ASSEMBLY CONSTITUNECY
ROUND-4
PART 1
(To be used both for Parliamentary and Assembly elections)
Total No. of electors in Assembly  Constituency/ Segment :-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"70"	"Name of the Assembly segment ( in the case of election from a Parliamentary constituency) :- 194-BIKRAM"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"71"	""	""	""	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"72"	"Serial no. of polling station"	""	""	""	"ANIL KUMAR"	""	"DEVI DAYAL PANDIT"	""	""	"SHAILESH KUMAR SINGH"	""	""	""	"SHYAM DEO SINGH"	""	""	"JITENDRA KUMAR"	""	""	"ANIL KUMAR"	""	""	"DAMYANTI DEVI"	""	""	""	"BHUSHAN PRASAD"	""	""	""	"MUNNA CHOUDHARY"	""	""	""	"RAGHUNANDAN PRASAD"	""	""	"RAMESH SHARMA"	""	""	""	"Total of Valid Votes"	""	""	"No. of
rejected votes"	""	""	"Total"	""	"No. of tendered votes"	""	""	""	""	""
"73"	"42"	""	""	""	"97"	""	"55"	""	""	"102"	""	""	""	"29"	""	""	"2"	""	""	"2"	""	""	"5"	""	""	""	"8"	""	""	""	"9"	""	""	""	"5"	""	""	"17"	""	""	""	"331"	""	""	""	""	""	"331"	""	""	""	""	""	""	""
"74"	"43"	""	""	""	"282"	""	"6"	""	""	"56"	""	""	""	"51"	""	""	"2"	""	""	"1"	""	""	"2"	""	""	""	"6"	""	""	""	"3"	""	""	""	"5"	""	""	"11"	""	""	""	"425"	""	""	""	""	""	"425"	""	""	""	""	""	""	""
"75"	"44"	""	""	""	"19"	""	"0"	""	""	"0"	""	""	""	"185"	""	""	"5"	""	""	"0"	""	""	"0"	""	""	""	"1"	""	""	""	"0"	""	""	""	"0"	""	""	"4"	""	""	""	"214"	""	""	""	""	""	"214"	""	""	""	""	""	""	""
"76"	"45"	""	""	""	"162"	""	"25"	""	""	"93"	""	""	""	"91"	""	""	"1"	""	""	"1"	""	""	"1"	""	""	""	"3"	""	""	""	"2"	""	""	""	"1"	""	""	"18"	""	""	""	"398"	""	""	""	""	""	"398"	""	""	""	""	""	""	""
"77"	"46"	""	""	""	"254"	""	"10"	""	""	"132"	""	""	""	"82"	""	""	"7"	""	""	"5"	""	""	"1"	""	""	""	"7"	""	""	""	"5"	""	""	""	"9"	""	""	"15"	""	""	""	"527"	""	""	""	""	""	"527"	""	""	""	""	""	""	""
"78"	"47"	""	""	""	"247"	""	"6"	""	""	"121"	""	""	""	"16"	""	""	"4"	""	""	"6"	""	""	"3"	""	""	""	"11"	""	""	""	"12"	""	""	""	"6"	""	""	"21"	""	""	""	"453"	""	""	""	""	""	"453"	""	""	""	""	""	""	""
"79"	"48"	""	""	""	"342"	""	"7"	""	""	"34"	""	""	""	"48"	""	""	"2"	""	""	"2"	""	""	"1"	""	""	""	"3"	""	""	""	"2"	""	""	""	"2"	""	""	"4"	""	""	""	"447"	""	""	""	""	""	"447"	""	""	""	""	""	""	""
"80"	"49"	""	""	""	"212"	""	"20"	""	""	"7"	""	""	""	"38"	""	""	"1"	""	""	"0"	""	""	"0"	""	""	""	"3"	""	""	""	"3"	""	""	""	"2"	""	""	"8"	""	""	""	"294"	""	""	""	""	""	"294"	""	""	""	""	""	""	""
"81"	"50"	""	""	""	"319"	""	"13"	""	""	"57"	""	""	""	"36"	""	""	"4"	""	""	"2"	""	""	"6"	""	""	""	"7"	""	""	""	"6"	""	""	""	"3"	""	""	"15"	""	""	""	"468"	""	""	""	""	""	"468"	""	""	""	""	""	""	""
