"ANNEXURE.XLI"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"
"1"	"(CHAPTER XIV, PARA 25.9 FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"[SEE RULE 56C(2)(C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 33-ARRAH PARLIAMENTARY CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"PART I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"(To be used both for Parliamentary and Assembly Election"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"Total No. of Electors in Assembly Constituency/Segment                          250546"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"Name of the Assembly/Segment                                                                   198-Ara"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"9"	"(in the case of election from a Parliamentary Constituency) 275AB"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"10"	"Booth"	"ABDUL AHAD"	""	"AMRENDRA
PRATAP SINGH"	"MD.
NAWAJ ALAM"	"VINOD
KUMAR PANDEY"	"SUDAMA PRASAD"	"JAIRAM PRASAD"	"RAJENDRA UPADHYAY"	"SHIV
KUMAR SAHAY"	"FAISHON AHMAD"	"MANOJ KUMAR
IND"	"RAKESH KUMAR
IND"	"SHAMBHU PRASAD SHARMA
IND"	"SUSHIL VIKRANT
IND"	"Total  of Valid Votes"	"No. of rejected votes"	"Total"	"No.
Tendered Votes"
"88"	"70"	"KANYA PATHSALA BABHANNAULI"	"90"	"271"	"43"	"1"	"14"	"3"	"1"	"2"	"0"	"0"	"1"	"0"	"4"	"430"	"0"	"430"	"0"
"89"	"71"	"HIGH SCHOOL BAKHRIYA"	"5"	"246"	"59"	"3"	"4"	"0"	"1"	"1"	"0"	"0"	"0"	"2"	"2"	"323"	"0"	"323"	"0"
"90"	"72"	"PANCHAYAT BHAWAN BALUWAN"	"20"	"323"	"200"	"3"	"9"	"4"	"3"	"2"	"6"	"4"	"11"	"11"	"37"	"633"	"0"	"633"	"0"
"91"	"73"	"PRIMARY SCHOOL RAMDEO CHAPRA"	"12"	"121"	"116"	"0"	"4"	"1"	"2"	"0"	"2"	"0"	"4"	"5"	"7"	"274"	"0"	"274"	"0"
"92"	"74"	"PRIMARY SCHOOL RATANPUR"	"66"	"303"	"156"	"3"	"8"	"12"	"1"	"3"	"0"	"2"	"2"	"1"	"9"	"566"	"0"	"566"	"0"
"93"	"75"	"PRIMARY SCHOOL RATAN DULARPUR"	"7"	"8"	"190"	"2"	"3"	"147"	"0"	"0"	"0"	"2"	"1"	"2"	"3"	"365"	"0"	"365"	"0"
"94"	"76"	"PRIMARY SCHOOL  CHHOTAKI SANDIYA(EASTERN PART)"	"30"	"39"	"366"	"10"	"10"	"4"	"1"	"1"	"1"	"1"	"23"	"3"	"27"	"516"	"0"	"516"	"0"
"95"	"77"	"PRIMARY SCHOOL CHHOTAKI SANDIYA(WESTERN PART)"	"52"	"87"	"487"	"24"	"33"	"7"	"2"	"2"	"3"	"8"	"7"	"4"	"15"	"731"	"0"	"731"	"0"
"96"	"78"	"PRIMARY SCHOOL CHAKIYA"	"17"	"7"	"370"	"5"	"1"	"5"	"1"	"0"	"0"	"1"	"2"	"0"	"12"	"421"	"0"	"421"	"0"
"97"	"79"	"PRIMARY SCHOOL SARANGPUR"	"38"	"227"	"278"	"9"	"23"	"2"	"2"	"5"	"4"	"6"	"4"	"2"	"5"	"605"	"0"	"605"	"0"
"98"	"80"	"PRIMARY SCHOOL MAKHDUMPUR DUMRA"	"5"	"81"	"47"	"1"	"33"	"4"	"0"	"1"	"5"	"2"	"2"	"1"	"5"	"187"	"0"	"187"	"0"
"99"	"81"	"PANCHAYAT BHAWAN BHELDUMRA"	"21"	"200"	"93"	"1"	"57"	"4"	"1"	"4"	"1"	"0"	"2"	"6"	"10"	"400"	"0"	"400"	"0"
"100"	"82"	"PRIMARY KANYA PATHSALA SHOBHIDUMRA(EASTERN PART)"	"67"	"231"	"101"	"8"	"36"	"1"	"0"	"3"	"1"	"4"	"2"	"1"	"6"	"461"	"0"	"461"	"0"
"101"	"83"	"PRIMARY SCHOOL PATHSALA SHOBHIDUMRA(WESTERN PART)"	"6"	"339"	"95"	"1"	"10"	"1"	"2"	"1"	"0"	"0"	"3"	"2"	"3"	"463"	"0"	"463"	"0"
"102"	"84"	"RAMNAMA MIDDELE SCHOOL BARKADUMRA(WESTERN PART)"	"19"	"243"	"55"	"1"	"48"	"1"	"0"	"3"	"0"	"2"	"0"	"0"	"1"	"373"	"0"	"373"	"0"
"103"	"85"	"RAMNAMA MIDDLE SCHOOL BARKADUMRA(EASTERN PART)"	"26"	"74"	"185"	"9"	"47"	"4"	"2"	"5"	"2"	"1"	"1"	"3"	"14"	"373"	"0"	"373"	"0"
"104"	"86"	"PRIMARY SCHOOL CHITRASENPUR(N)"	"5"	"45"	"320"	"7"	"4"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"383"	"0"	"383"	"0"
"105"	"86A"	"PRIMARY SCHOOL CHITRASENPUR(S)"	"11"	"49"	"257"	"3"	"3"	"4"	"0"	"1"	"0"	"1"	"3"	"1"	"0"	"333"	"0"	"333"	"0"
"106"	"87"	"PRIMARY SCHOOL MAHKAMPUR BALUWAN"	"8"	"35"	"592"	"4"	"10"	"0"	"0"	"1"	"0"	"0"	"0"	"3"	"0"	"653"	"0"	"653"	"0"
"107"	"88"	"PRIMARY SCHOOL MATHWALIYA"	"31"	"240"	"100"	"6"	"3"	"0"	"3"	"0"	"4"	"3"	"3"	"2"	"9"	"404"	"0"	"404"	"0"
"108"	"89"	"MIDDLE SCHOOL DHUDHUAN"	"13"	"21"	"538"	"20"	"21"	"2"	"3"	"3"	"1"	"4"	"8"	"0"	"2"	"636"	"0"	"636"	"0"
"109"	"90"	"PRIMARY SCHOOL DAULATPUR(SOUTHERN PART)"	"3"	"8"	"611"	"1"	"4"	"0"	"2"	"0"	"1"	"2"	"2"	"0"	"5"	"639"	"0"	"639"	"0"
"110"	"91"	"PRIMARY SCHOOL DAULATPUR(NORTHERN PART)"	"8"	"18"	"677"	"3"	"4"	"1"	"0"	"0"	"0"	"0"	"2"	"0"	"2"	"715"	"0"	"715"	"0"
"111"	"92"	"PRIMARY SCHOOL BASANTPUR(E)"	"12"	"134"	"184"	"3"	"20"	"4"	"0"	"1"	"0"	"1"	"0"	"1"	"3"	"363"	"0"	"363"	"0"
"112"	"92A"	"PRIMARY SCHOOL BASANTPUR(W)"	"18"	"101"	"188"	"12"	"51"	"3"	"6"	"9"	"5"	"3"	"5"	"0"	"3"	"404"	"0"	"404"	"0"
"113"	"Booth"	"ABDUL AHAD"	""	"AMRENDRA
PRATAP SINGH"	"MD.
NAWAJ ALAM"	"VINOD
KUMAR PANDEY"	"SUDAMA PRASAD"	"JAIRAM PRASAD"	"RAJENDRA UPADHYAY"	"SHIV
KUMAR SAHAY"	"FAISHON AHMAD"	"MANOJ KUMAR
IND"	"RAKESH KUMAR
IND"	"SHAMBHU PRASAD SHARMA
IND"	"SUSHIL VIKRANT
IND"	"Total  of Valid Votes"	"No. of rejected votes"	"Total"	"No.
Tendered Votes"
"114"	"No"	"Booth Name"	"LJP"	"BJP"	"RJD"	"BSP"	"CPI(ML)(L)"	"JKM"	"ABJS"	"RSP"	"IND"	""	""	""	""	""	""	""	""
"115"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"
"116"	"93"	"PRIMARY SCHOOL MAHKAMPUR BARA(E)"	"11"	"23"	"263"	"6"	"100"	"10"	"5"	"2"	"8"	"5"	"7"	"2"	"7"	"449"	"0"	"449"	"0"
"117"	"93A"	"PRIMARY SCHOOL MAHKAMPUR BARA(W)"	"2"	"26"	"144"	"6"	"32"	"0"	"3"	"5"	"2"	"1"	"7"	"4"	"11"	"243"	"0"	"243"	"0"
"118"	"94"	"MIDDLE SCHOOL BHAKURA(EASTERN PART)"	"18"	"213"	"369"	"7"	"68"	"1"	"2"	"7"	"4"	"0"	"1"	"0"	"4"	"694"	"0"	"694"	"0"
"119"	"95"	"MIDDLE SCHOOL BHAKURA(WESTERN PART)"	"28"	"242"	"46"	"11"	"139"	"2"	"2"	"3"	"0"	"3"	"2"	"1"	"1"	"480"	"0"	"480"	"0"
"120"	"96"	"PRIMARY SCHOOL LAXMANPUR"	"23"	"156"	"285"	"12"	"34"	"1"	"8"	"2"	"4"	"4"	"7"	"14"	"26"	"576"	"0"	"576"	"0"
"121"	"97"	"MIDDLE SCHOOL JAMIRA(EASTERN PART)"	"21"	"64"	"349"	"14"	"24"	"0"	"6"	"8"	"3"	"4"	"5"	"9"	"18"	"525"	"0"	"525"	"0"
"122"	"97A"	"MIDDLE SCHOOL JAMIRA(OLD BUILDING)"	"11"	"27"	"246"	"10"	"8"	"2"	"2"	"1"	"0"	"0"	"0"	"0"	"3"	"310"	"0"	"310"	"0"
"123"	"98"	"MIDDLE SCHOOL JAMIRA(WESTERN PART)"	"15"	"66"	"336"	"5"	"8"	"2"	"1"	"4"	"2"	"1"	"1"	"4"	"7"	"452"	"0"	"452"	"0"
"124"	"99"	"MIDDLE SCHOOL JAMIRA(MIDDLE PART)"	"41"	"289"	"110"	"3"	"13"	"3"	"2"	"3"	"4"	"5"	"4"	"1"	"11"	"489"	"0"	"489"	"0"
"125"	"100"	"SARKARI GRAM KACHHARI JAMIRA"	"74"	"37"	"181"	"9"	"88"	"6"	"3"	"18"	"11"	"8"	"1"	"3"	"11"	"450"	"0"	"450"	"0"
